row-oriented (seq): 500x500, Time: 0.3524s
row-oriented (seq): 1000x1000, Time: 2.8191s
row-oriented (seq): 1500x1500, Time: 9.9958s
row-oriented (seq): 2000x2000, Time: 21.7125s
row-oriented (seq): 2500x2500, Time: 57.3870s
row-oriented (seq): 3000x3000, Time: 106.7012s
row-oriented (seq): 3500x3500, Time: 207.4920s
row-oriented (seq): 4000x4000, Time: 230.1750s
row-oriented (seq): 4500x4500, Time: 445.8400s

block-oriented (seq): 500x500, Time: 0.3250s
block-oriented (seq): 1000x1000, Time: 2.5520s
block-oriented (seq): 1500x1500, Time: 8.8686s
block-oriented (seq): 2000x2000, Time: 20.6917s
block-oriented (seq): 2500x2500, Time: 39.9139s
block-oriented (seq): 3000x3000, Time: 70.5438s
block-oriented (seq): 3500x3500, Time: 111.6588s
block-oriented (seq): 4000x4000, Time: 167.2738s
block-oriented (seq): 4500x4500, Time: 237.5060s

omp-4: 500x500, Time: 0.1042s
omp-4: 1000x1000, Time: 0.6891s
omp-4: 1500x1500, Time: 2.2743s
omp-4: 2000x2000, Time: 5.3166s
omp-4: 2500x2500, Time: 10.5051s
omp-4: 3000x3000, Time: 18.3943s
omp-4: 3500x3500, Time: 29.6172s
omp-4: 4000x4000, Time: 43.9955s
omp-4: 4500x4500, Time: 63.3926s

omp-9: 504x504, Time: 0.0769s
omp-9: 999x999, Time: 0.5057s
omp-9: 1503x1503, Time: 1.5645s
omp-9: 1998x1998, Time: 3.6734s
omp-9: 2502x2502, Time: 7.3391s
omp-9: 2997x2997, Time: 13.5106s
omp-9: 3501x3501, Time: 21.9711s
omp-9: 3996x3996, Time: 32.6951s
omp-9: 4500x4500, Time: 46.8271s

omp-16: 500x500, Time: 0.0417s
omp-16: 1000x1000, Time: 0.2047s
omp-16: 1500x1500, Time: 0.6954s
omp-16: 2000x2000, Time: 1.5540s
omp-16: 2500x2500, Time: 2.9981s
omp-16: 3000x3000, Time: 5.0649s
omp-16: 3500x3500, Time: 8.1998s
omp-16: 4000x4000, Time: 11.8976s
omp-16: 4500x4500, Time: 17.4656s

omp-25: 500x500, Time: 0.0350s
omp-25: 1000x1000, Time: 0.1537s
omp-25: 1500x1500, Time: 0.4904s
omp-25: 2000x2000, Time: 1.1318s
omp-25: 2500x2500, Time: 2.1481s
omp-25: 3000x3000, Time: 3.7113s
omp-25: 3500x3500, Time: 5.9404s
omp-25: 4000x4000, Time: 8.5143s
omp-25: 4500x4500, Time: 12.5136s

omp-36: 500x500, Time: 0.0323s
omp-36: 1000x1000, Time: 0.1245s
omp-36: 1500x1500, Time: 0.3539s
omp-36: 2000x2000, Time: 0.7761s
omp-36: 2500x2500, Time: 1.5294s
omp-36: 3000x3000, Time: 2.6717s
omp-36: 3500x3500, Time: 4.3463s
omp-36: 4000x4000, Time: 6.2756s
omp-36: 4500x4500, Time: 9.3794s

omp-38: 500x500, Time: 0.0348s
omp-38: 1000x1000, Time: 0.1176s
omp-38: 1500x1500, Time: 0.3600s
omp-38: 2000x2000, Time: 0.7730s
omp-38: 2500x2500, Time: 1.5316s
omp-38: 3000x3000, Time: 2.6914s
omp-38: 3500x3500, Time: 4.3926s
omp-38: 4000x4000, Time: 6.3686s
omp-38: 4500x4500, Time: 9.4285s

# Updated mpi algorithm; times include async matrix distribution

mpi-64: 496x496, Time: 0.0138s
mpi-64: 1000x1000, Time: 0.0634s
mpi-64: 1496x1496, Time: 0.2067s
mpi-64: 2000x2000, Time: 0.4379s
mpi-64: 2496x2496, Time: 0.8040s
mpi-64: 3000x3000, Time: 1.3521s
mpi-64: 3496x3496, Time: 2.0930s
mpi-64: 4000x4000, Time: 3.0747s
mpi-64: 4496x4496, Time: 4.3252s

mpiomp-64: 496x496, Time: 0.0209s
mpiomp-64: 1000x1000, Time: 0.0660s
mpiomp-64: 1496x1496, Time: 0.2287s
mpiomp-64: 2000x2000, Time: 0.3620s
mpiomp-64: 2496x2496, Time: 0.6101s
mpiomp-64: 3000x3000, Time: 0.9803s
mpiomp-64: 3496x3496, Time: 1.4511s
mpiomp-64: 4000x4000, Time: 2.0875s
mpiomp-64: 4496x4496, Time: 2.8391s

mpi-49: 497x497, Time: 0.0153s
mpi-49: 1001x1001, Time: 0.0876s
mpi-49: 1498x1498, Time: 0.2483s
mpi-49: 2002x2002, Time: 0.5448s
mpi-49: 2499x2499, Time: 1.0076s
mpi-49: 3003x3003, Time: 1.7153s
mpi-49: 3500x3500, Time: 2.6701s
mpi-49: 3997x3997, Time: 3.9191s
mpi-49: 4501x4501, Time: 5.5317s

mpiomp-49: 497x497, Time: 0.0220s
mpiomp-49: 1001x1001, Time: 0.0791s
mpiomp-49: 1498x1498, Time: 0.2219s
mpiomp-49: 2002x2002, Time: 0.3980s
mpiomp-49: 2499x2499, Time: 0.7142s
mpiomp-49: 3003x3003, Time: 1.1976s
mpiomp-49: 3500x3500, Time: 1.7905s
mpiomp-49: 3997x3997, Time: 2.5573s
mpiomp-49: 4501x4501, Time: 3.5560s

mpi-36: 498x498, Time: 0.0161s
mpi-36: 1002x1002, Time: 0.1074s
mpi-36: 1500x1500, Time: 0.3159s
mpi-36: 1998x1998, Time: 0.6961s
mpi-36: 2502x2502, Time: 1.3344s
mpi-36: 3000x3000, Time: 2.2661s
mpi-36: 3498x3498, Time: 3.5314s
mpi-36: 4002x4002, Time: 5.2247s
mpi-36: 4500x4500, Time: 7.4611s

mpiomp-36: 498x498, Time: 0.0227s
mpiomp-36: 1002x1002, Time: 0.0887s
mpiomp-36: 1500x1500, Time: 0.2520s
mpiomp-36: 1998x1998, Time: 0.4831s
mpiomp-36: 2502x2502, Time: 0.9282s
mpiomp-36: 3000x3000, Time: 1.5248s
mpiomp-36: 3498x3498, Time: 2.3019s
mpiomp-36: 4002x4002, Time: 3.3358s
mpiomp-36: 4500x4500, Time: 5.1010s

mpi-25: 500x500, Time: 0.0194s
mpi-25: 1000x1000, Time: 0.1396s
mpi-25: 1500x1500, Time: 0.4245s
mpi-25: 2000x2000, Time: 0.9764s
mpi-25: 2500x2500, Time: 1.8589s
mpi-25: 3000x3000, Time: 3.1807s
mpi-25: 3500x3500, Time: 4.9831s
mpi-25: 4000x4000, Time: 7.4675s
mpi-25: 4500x4500, Time: 10.5380s

mpiomp-25: 500x500, Time: 0.0267s
mpiomp-25: 1000x1000, Time: 0.1102s
mpiomp-25: 1500x1500, Time: 0.3066s
mpiomp-25: 2000x2000, Time: 0.6656s
mpiomp-25: 2500x2500, Time: 1.2100s
mpiomp-25: 3000x3000, Time: 1.9829s
mpiomp-25: 3500x3500, Time: 3.0748s
mpiomp-25: 4000x4000, Time: 4.8762s
mpiomp-25: 4500x4500, Time: 6.8099s

mpi-16: 500x500, Time: 0.0269s
mpi-16: 1000x1000, Time: 0.1904s
mpi-16: 1500x1500, Time: 0.6248s
mpi-16: 2000x2000, Time: 1.4560s
mpi-16: 2500x2500, Time: 2.8244s
mpi-16: 3000x3000, Time: 4.9068s
mpi-16: 3500x3500, Time: 7.7088s
mpi-16: 4000x4000, Time: 11.4005s
mpi-16: 4500x4500, Time: 16.1501s

mpiomp-16: 500x500, Time: 0.0324s
mpiomp-16: 1000x1000, Time: 0.1412s
mpiomp-16: 1500x1500, Time: 0.4369s
mpiomp-16: 2000x2000, Time: 0.9662s
mpiomp-16: 2500x2500, Time: 1.7998s
mpiomp-16: 3000x3000, Time: 3.2937s
mpiomp-16: 3500x3500, Time: 5.1001s
mpiomp-16: 4000x4000, Time: 7.3917s
mpiomp-16: 4500x4500, Time: 10.3596s

mpi-9: 501x501, Time: 0.0425s
mpi-9: 999x999, Time: 0.3197s
mpi-9: 1500x1500, Time: 1.0757s
mpi-9: 2001x2001, Time: 2.5375s
mpi-9: 2499x2499, Time: 4.9455s
mpi-9: 3000x3000, Time: 8.4736s
mpi-9: 3501x3501, Time: 13.3837s
mpi-9: 3999x3999, Time: 19.8856s
